,online,reservations,rating,votes,location,rest_type,cost_for_two,type
1913,Yes,No,2.8,102,Bannerghatta Road,Quick Bites,350,Dine-out
14212,Yes,No,3.4,9,BTM,Quick Bites,250,Delivery
27790,Yes,No,3.3,9,Indiranagar,Quick Bites,300,Delivery
9256,No,Yes,4.1,771,Koramangala 4th Block,"Casual Dining, Bar",800,Pubs and bars
20170,No,No,3.3,4,Bannerghatta Road,Other,400,Delivery
12602,Yes,No,4.1,730,Indiranagar,Casual Dining,950,Delivery
27686,Yes,No,4.0,108,Old Airport Road,Delivery,800,Delivery
14188,Yes,No,3.8,55,Jayanagar,Quick Bites,250,Delivery
24729,Yes,No,3.8,94,Marathahalli,Other,250,Delivery
15417,Yes,No,3.0,68,Kumaraswamy Layout,Quick Bites,250,Delivery
18545,Yes,No,4.3,221,Koramangala 1st Block,Quick Bites,300,Dine-out
19392,Yes,No,4.0,48,Koramangala 5th Block,Other,400,Delivery
1105,Yes,No,3.8,9,BTM,Bakery,450,Delivery
31787,Yes,No,4.0,184,Whitefield,Quick Bites,500,Dine-out
17076,No,No,4.1,488,Kalyan Nagar,Casual Dining,800,Dine-out
28412,No,No,3.4,7,Indiranagar,Cafe,600,Dine-out
4956,Yes,Yes,4.5,1394,Church Street,"Casual Dining, Bar",1700,Dine-out
8307,No,No,4.3,1904,Koramangala 5th Block,Dessert Parlor,400,Desserts
31154,Yes,No,3.6,84,KR Puram,Quick Bites,300,Delivery
20753,No,No,4.3,295,Koramangala 4th Block,Cafe,850,Cafes
19149,Yes,No,4.4,7233,Koramangala 5th Block,Casual Dining,600,Delivery
20313,Yes,No,3.8,123,Koramangala 5th Block,Bakery,400,Desserts
28046,No,No,3.7,21,Indiranagar,Dessert Parlor,500,Desserts
3696,Yes,No,3.2,4,Bellandur,Quick Bites,300,Dine-out
7778,Yes,Yes,3.9,65,BTM,Casual Dining,600,Delivery
27282,No,No,3.3,6,New BEL Road,Other,400,Dine-out
628,No,No,3.7,22,Banashankari,Quick Bites,500,Dine-out
2451,No,No,3.0,16,Wilson Garden,Quick Bites,200,Delivery
29220,No,No,4.0,1469,MG Road,Other,450,Cafes
20208,No,No,3.4,7,BTM,Quick Bites,500,Delivery
31591,No,No,3.9,141,Whitefield,Casual Dining,700,Dine-out
32004,No,Yes,4.1,564,Whitefield,"Casual Dining, Bar",1000,Drinks & nightlife
20127,No,No,3.7,22,BTM,Other,300,Delivery
2176,Yes,Yes,3.9,1337,Bannerghatta Road,Other,1700,Drinks & nightlife
23073,No,Yes,4.1,611,MG Road,Other,2800,Dine-out
25242,Yes,No,3.6,56,Marathahalli,Casual Dining,750,Delivery
19702,Yes,No,3.6,16,Koramangala 5th Block,Cafe,500,Delivery
27349,No,No,3.3,14,New BEL Road,Quick Bites,200,Dine-out
26037,No,No,3.3,90,Indiranagar,Cafe,500,Cafes
23816,Yes,No,4.0,172,Malleshwaram,Quick Bites,300,Delivery
2787,No,No,3.6,13,Jayanagar,Quick Bites,100,Dine-out
12297,No,No,3.73178,0,HSR,Quick Bites,600,Dine-out
1196,Yes,No,3.5,14,JP Nagar,Quick Bites,300,Delivery
18060,No,No,3.73178,0,Old Airport Road,Other,150,Delivery
20331,Yes,No,4.4,362,Koramangala 6th Block,Cafe,500,Desserts
7618,Yes,No,4.8,186,Koramangala 5th Block,Dessert Parlor,400,Delivery
4444,Yes,No,4.0,779,Church Street,Casual Dining,650,Delivery
11128,Yes,No,3.7,19,Kammanahalli,Other,200,Delivery
15514,Yes,Yes,4.2,2206,JP Nagar,Other,1200,Dine-out
5722,Yes,Yes,3.9,1117,Whitefield,Casual Dining,750,Delivery
28340,Yes,No,3.7,32,Indiranagar,Quick Bites,500,Dine-out
10695,No,No,3.2,4,Electronic City,Casual Dining,550,Dine-out
29566,No,Yes,4.1,1750,Church Street,Cafe,1000,Dine-out
18753,Yes,Yes,4.5,1879,BTM,Cafe,900,Dine-out
4967,No,Yes,4.4,1094,Ulsoor,Casual Dining,1600,Dine-out
18601,Yes,No,3.5,10,Koramangala 7th Block,Quick Bites,300,Dine-out
24532,Yes,No,3.6,41,Race Course Road,Casual Dining,1400,Dine-out
10410,No,No,3.5,47,Electronic City,Delivery,400,Delivery
19710,Yes,No,3.3,8,BTM,Quick Bites,400,Delivery
4009,Yes,No,4.3,566,Ulsoor,Cafe,700,Cafes
15515,No,Yes,4.1,1239,JP Nagar,Casual Dining,800,Dine-out
3583,No,Yes,4.2,707,Bellandur,Other,1400,Dine-out
31716,No,No,3.73178,0,Whitefield,Other,200,Dine-out
18020,No,No,3.2,4,HSR,"Takeaway, Delivery",150,Delivery
20003,Yes,No,3.8,21,BTM,Quick Bites,850,Delivery
22601,Yes,Yes,4.3,509,Lavelle Road,"Casual Dining, Bar",1300,Delivery
18852,Yes,No,3.9,191,BTM,Quick Bites,600,Dine-out
12424,No,Yes,4.3,331,HSR,Other,1400,Pubs and bars
8277,Yes,No,3.3,5,South Bangalore,Delivery,400,Desserts
22620,No,No,3.3,5,Lavelle Road,Bakery,350,Delivery
22357,Yes,No,3.8,23,Basavanagudi,Other,100,Delivery
3667,Yes,No,3.1,26,Bellandur,Quick Bites,300,Dine-out
12474,No,No,4.4,1095,Indiranagar,Other,800,Cafes
21542,Yes,No,4.2,120,BTM,Quick Bites,300,Delivery
23978,Yes,No,4.1,500,Rajajinagar,Casual Dining,600,Delivery
23360,No,No,3.5,10,St. Marks Road,Quick Bites,250,Dine-out
12782,Yes,No,3.2,43,Indiranagar,Quick Bites,300,Delivery
10211,Yes,No,3.6,27,Electronic City,Casual Dining,550,Delivery
3423,No,Yes,4.0,119,Sarjapur Road,Casual Dining,1000,Delivery
10717,Yes,No,3.6,163,Electronic City,Casual Dining,500,Dine-out
8199,Yes,No,3.4,212,HSR,Casual Dining,800,Delivery
18793,No,Yes,4.1,94,Domlur,Other,3000,Dine-out
19596,Yes,Yes,4.4,681,Koramangala 7th Block,Casual Dining,1500,Delivery
29712,No,No,4.5,207,City Market,Quick Bites,200,Dine-out
5366,Yes,No,4.2,739,Cunningham Road,Cafe,750,Dine-out
17313,Yes,No,3.2,4,Banaswadi,Quick Bites,300,Dine-out
22977,No,Yes,4.1,2049,Infantry Road,Casual Dining,1600,Dine-out
2895,Yes,No,3.8,62,Sarjapur Road,Quick Bites,500,Delivery
24820,Yes,No,3.4,9,Marathahalli,Other,300,Delivery
14122,Yes,No,3.8,268,Bannerghatta Road,Delivery,400,Delivery
1296,Yes,No,3.4,18,Bannerghatta Road,Quick Bites,400,Delivery
3642,No,No,2.9,17,Bellandur,Casual Dining,400,Dine-out
27642,Yes,No,4.1,453,Indiranagar,Casual Dining,700,Delivery
27555,Yes,No,3.0,168,Old Airport Road,"Takeaway, Delivery",450,Delivery
29404,No,No,4.0,210,Residency Road,Casual Dining,500,Delivery
25859,Yes,No,3.2,426,Kaggadasapura,Casual Dining,600,Dine-out
26577,Yes,No,4.3,99,Ulsoor,Casual Dining,550,Dine-out
25461,No,Yes,4.5,785,Marathahalli,Other,2700,Dine-out
25445,Yes,No,3.2,25,Kaggadasapura,Dessert Parlor,300,Desserts
31575,No,Yes,4.3,246,Whitefield,Casual Dining,2500,Dine-out
31281,No,No,3.73178,0,Whitefield,Bakery,250,Delivery
8548,Yes,No,3.9,348,BTM,Quick Bites,400,Dine-out
21642,Yes,No,3.8,128,BTM,Quick Bites,400,Delivery
5451,No,Yes,4.1,93,Residency Road,Other,1000,Drinks & nightlife
23544,Yes,Yes,4.3,3492,Lavelle Road,Other,1700,Drinks & nightlife
10685,No,No,3.5,8,Electronic City,Casual Dining,550,Dine-out
15449,No,No,3.7,29,BTM,Casual Dining,500,Delivery
7866,Yes,No,4.0,684,Koramangala 5th Block,Quick Bites,250,Delivery
19127,Yes,No,2.9,178,BTM,Quick Bites,300,Delivery
31957,Yes,No,3.7,215,Whitefield,Other,700,Dine-out
26466,Yes,No,4.1,119,MG Road,Other,500,Dine-out
12867,Yes,Yes,3.9,81,Ulsoor,Casual Dining,800,Delivery
14607,Yes,No,4.1,803,Jayanagar,Cafe,400,Dine-out
9797,Yes,No,3.6,118,Richmond Road,Casual Dining,500,Dine-out
11755,Yes,No,4.0,157,HSR,Bakery,300,Delivery
13979,Yes,No,4.3,1588,Koramangala 5th Block,Casual Dining,550,Delivery
21342,Yes,No,4.6,4707,Koramangala 7th Block,Other,1500,Drinks & nightlife
9738,No,Yes,4.1,552,Brigade Road,Other,1100,Dine-out
14385,Yes,No,3.9,544,Basavanagudi,Quick Bites,300,Delivery
